1.09 - Núcleos familiares com filhos, segundo o número de crianças, totais de filhos e de crianças nos núcleos, por tipo de núcleo (com base na condição perante o trabalho), NUTS II, 2011 e 2021;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
        Ambos desempregados ou inactivos;28 127;7 952;10 763;5 866;3 546;50 472;34 504;30 236;10 730;10 189;6 006;3 311;52 824;33 296;
Monoparental;480 443;297 651;138 580;37 422;6 790;656 664;235 027;579 971;381 147;151 184;40 825;6 815;777 530;254 363;
Pai com filhos;64 100;45 713;14 689;3 233;465;82 512;22 627;83 629;61 676;17 530;3 969;454;105 880;26 879;
        Empregado;31 261;17 235;11 094;2 590;342;42 026;17 344;45 899;28 248;14 061;3 239;351;60 599;21 628;
        Desempregado;5 465;2 945;2 076;374;70;7 217;3 045;3 744;2 168;1 273;268;35;4 782;1 916;
        Sem atividade económica;27 374;25 533;1 519;269;53;33 269;2 238;33 986;31 260;2 196;462;68;40 499;3 335;
Mãe com filhos;416 343;251 938;123 891;34 189;6 325;574 152;212 400;496 342;319 471;133 654;36 856;6 361;671 650;227 484;
        Empregada;210 219;95 092;88 998;23 000;3 129;298 567;144 779;271 232;143 137;99 260;25 606;3 229;380 211;160 508;
        Desempregada;41 042;14 825;18 779;6 000;1 438;61 613;35 378;34 150;14 239;14 365;4 513;1 033;50 302;26 665;
        Sem atividade económica;165 082;142 021;16 114;5 189;1 758;213 972;32 243;190 960;162 095;20 029;6 737;2 099;241 137;40 311;
;;;;;;;;;;;;;;;
Norte;772 963;373 146;269 900;114 879;15 038;1 166 506;546 922;721 590;403 969;213 104;92 720;11 797;1 054 072;435 404;
;;;;;;;;;;;;;;;
Casal com filhos;617 131;272 342;227 866;103 782;13 141;952 792;476 698;535 067;275 421;168 024;81 446;10 176;806 120;362 695;
Casal de direito com filhos;568 790;263 128;200 584;94 425;10 653;879 432;422 629;452 530;257 803;123 561;63 987;7 179;683 604;273 795;
        Ambos empregados;292 889;91 915;132 019;63 440;5 515;458 058;275 809;263 763;117 031;92 397;49 609;4 726;415 746;206 130;
        Um empregado e outro desempregado ou inactivo;181 354;91 819;58 546;26 941;4 048;289 370;125 140;115 284;74 836;26 253;12 248;1 947;174 112;56 849;
        Ambos desempregados ou inactivos;94 547;79 394;10 019;4 044;1 090;132 004;21 680;73 483;65 936;4 911;2 130;506;93 746;10 816;
Casal de facto com filhos;48 341;9 214;27 282;9 357;2 488;73 360;54 069;82 537;17 618;44 463;17 459;2 997;122 516;88 900;
        Ambos empregados;22 705;3 378;14 552;4 150;625;32 038;24 817;51 265;8 549;30 533;11 005;1 178;73 206;56 163;
        Um empregado e outro desempregado ou inactivo;17 235;3 463;9 304;3 502;966;26 802;19 417;22 461;5 777;10 880;4 779;1 025;34 438;23 698;
        Ambos desempregados ou inactivos;8 401;2 373;3 426;1 705;897;14 520;9 835;8 811;3 292;3 050;1 675;794;14 872;9 039;
Monoparental;155 832;100 804;42 034;11 097;1 897;213 714;70 224;186 523;128 548;45 080;11 274;1 621;247 952;72 709;
Pai com filhos;19 396;14 902;3 626;752;116;25 245;5 490;25 439;20 053;4 391;895;100;32 201;6 487;
        Empregado;8 080;4 698;2 706;585;91;10 999;4 156;12 807;8 474;3 512;744;77;16 885;5 235;
        Desempregado;1 571;951;508;94;18;2 071;752;1 151;740;350;52;9;1 451;481;
        Sem atividade económica;9 745;9 253;412;73;7;12 175;582;11 481;10 839;529;99;14;13 865;771;
Mãe com filhos;136 436;85 902;38 408;10 345;1 781;188 469;64 734;161 084;108 495;40 689;10 379;1 521;215 751;66 222;
        Empregada;59 598;27 095;25 593;6 200;710;83 707;40 203;82 106;44 382;29 915;7 070;739;113 460;46 338;
        Desempregada;15 110;5 818;6 676;2 156;460;22 504;12 437;11 648;5 409;4 591;1 360;288;16 779;8 226;
        Sem atividade económica;61 728;52 989;6 139;1 989;611;82 258;12 094;67 330;58 704;6 183;1 949;494;85 512;11 658;
;;;;;;;;;;;;;;;
Centro;441 985;215 787;149 647;67 517;9 034;660 726;313 274;407 749;221 320;121 659;56 899;7 871;597 139;260 246;
;;;;;;;;;;;;;;;
Casal com filhos;351 604;157 296;125 258;61 019;8 031;539 617;272 705;300 600;147 268;95 913;50 502;6 917;457 118;218 686;
Casal de direito com filhos;314 692;150 456;104 424;53 708;6 104;483 544;230 958;240 588;135 233;63 823;37 089;4 443;366 894;151 867;
        Ambos empregados;182 575;62 805;75 880;40 159;3 731;288 967;167 736;150 484;67 878;49 882;29 720;3 004;240 965;118 576;
        Um empregado e outro desempregado ou inactivo;86 782;47 804;25 012;12 053;1 913;135 379;55 165;53 809;34 739;11 705;6 247;1 118;80 764;27 767;
        Ambos desempregados ou inactivos;45 335;39 847;3 532;1 496;460;59 198;8 057;36 295;32 616;2 236;1 122;321;45 165;5 524;
Casal de facto com filhos;36 912;6 840;20 834;7 311;1 927;56 073;41 747;60 012;12 035;32 090;13 413;2 474;90 224;66 819;
        Ambos empregados;20 241;3 076;12 550;3 963;652;29 267;22 531;40 412;6 712;23 373;9 208;1 119;58 833;45 264;
        Um empregado e outro desempregado ou inactivo;12 154;2 413;6 480;2 481;780;19 108;13 998;14 606;3 574;7 043;3 225;764;22 737;15 932;
        Ambos desempregados ou inactivos;4 517;1 351;1 804;867;495;7 698;5 218;4 994;1 749;1 674;980;591;8 654;5 623;
Monoparental;90 381;58 491;24 389;6 498;1 003;121 109;40 569;107 149;74 052;25 746;6 397;954;140 021;41 560;
Pai com filhos;12 313;9 223;2 490;532;68;15 475;3 768;16 468;12 626;3 068;685;89;20 560;4 716;
        Empregado;5 852;3 419;1 941;440;52;7 810;2 983;8 978;5 785;2 548;574;71;11 777;3 917;
        Desempregado;753;413;282;54;4;973;403;491;315;139;35;2;607;215;
        Sem atividade económica;5 708;5 391;267;38;12;6 692;382;6 999;6 526;381;76;16;8 176;584;
Mãe com filhos;78 068;49 268;21 899;5 966;935;105 634;36 801;90 681;61 426;22 678;5 712;865;119 461;36 844;
        Empregada;39 429;18 509;16 267;4 141;512;55 772;26 141;50 489;27 904;17 821;4 287;477;69 683;27 878;
        Desempregada;6 492;2 463;2 908;931;190;9 636;5 380;4 384;1 890;1 860;524;110;6 350;3 254;
        Sem atividade económica;32 147;28 296;2 724;894;233;40 226;5 280;35 808;31 632;2 997;901;278;43 428;5 712;
;;;;;;;;;;;;;;;
A.M. Lisboa;544 388;243 796;194 019;89 432;17 141;818 668;427 816;550 357;268 674;178 189;86 428;17 066;834 917;405 259;
;;;;;;;;;;;;;;;
Casal com filhos;389 660;155 215;144 489;75 556;14 400;606 169;341 830;359 402;152 466;123 165;69 882;13 889;572 855;307 062;
Casal de direito com filhos;309 995;140 687;101 850;57 764;9 694;479 853;248 266;255 606;129 098;72 572;45 064;8 872;408 801;190 815;
        Ambos empregados;183 497;59 063;74 728;43 512;6 194;293 108;181 230;154 564;62 433;52 793;33 521;5 817;258 858;138 104;
        Um empregado e outro desempregado ou inactivo;83 168;44 410;23 534;12 401;2 823;130 190;57 486;64 056;35 445;16 515;9 656;2 440;102 010;43 664;
        Ambos desempregados ou inactivos;43 330;37 214;3 588;1 851;677;56 555;9 550;36 986;31 220;3 264;1 887;615;47 933;9 047;
Casal de facto com filhos;79 665;14 528;42 639;17 792;4 706;126 316;93 564;103 796;23 368;50 593;24 818;5 017;164 054;116 247;
        Ambos empregados;46 156;6 841;27 355;10 178;1 782;68 977;53 362;67 200;12 695;35 372;16 746;2 387;103 243;76 326;
        Um empregado e outro desempregado ou inactivo;24 293;5 011;12 033;5 573;1 676;40 329;28 667;26 768;7 079;12 069;6 050;1 570;43 398;29 190;
        Ambos desempregados ou inactivos;9 216;2 676;3 251;2 041;1 248;17 010;11 535;9 828;3 594;3 152;2 022;1 060;17 413;10 731;
Monoparental;154 728;88 581;49 530;13 876;2 741;212 499;85 986;190 955;116 208;55 024;16 546;3 177;262 062;98 197;
Pai com filhos;21 136;13 653;5 890;1 391;202;27 273;9 302;27 378;18 471;6 976;1 724;207;35 092;11 074;
        Empregado;11 729;5 973;4 470;1 142;144;15 750;7 203;16 338;9 212;5 572;1 390;164;21 831;8 867;
        Desempregado;2 158;1 103;870;150;35;2 853;1 277;1 452;741;556;139;16;1 915;884;
        Sem atividade económica;7 249;6 577;550;99;23;8 670;822;9 588;8 518;848;195;27;11 346;1 323;
Mãe com filhos;133 592;74 928;43 640;12 485;2 539;185 226;76 684;163 577;97 737;48 048;14 822;2 970;226 970;87 123;
        Empregada;77 618;34 075;33 075;9 052;1 416;111 235;55 617;96 078;48 889;35 513;10 184;1 492;137 617;60 540;
        Desempregada;12 973;4 409;6 071;1 944;549;19 735;11 724;12 356;4 666;5 332;1 871;487;18 758;10 619;
        Sem atividade económica;43 001;36 444;4 494;1 489;574;54 256;9 343;55 143;44 182;7 203;2 767;991;70 595;15 964;
;;;;;;;;;;;;;;;
Alentejo;140 084;68 581;47 062;20 691;3 750;207 762;100 518;126 711;66 382;38 823;18 153;3 353;187 024;85 903;
;;;;;;;;;;;;;;;
Casal com filhos;109 243;48 841;38 562;18 475;3 365;166 973;86 345;90 811;42 506;29 654;15 708;2 943;139 909;70 554;
Casal de direito com filhos;91 420;45 384;29 146;14 734;2 156;138 709;65 426;65 283;37 212;16 889;9 676;1 506;99 652;41 038;
        Ambos empregados;52 536;19 483;20 983;10 841;1 229;82 170;46 482;39 551;18 148;12 859;7 592;952;63 725;31 021;
        Um empregado e outro desempregado ou inactivo;25 095;13 974;7 066;3 388;667;38 512;15 963;15 299;9 894;3 306;1 730;369;22 811;7 948;
        Ambos desempregados ou inactivos;13 789;11 927;1 097;505;260;18 027;2 981;10 433;9 170;724;354;185;13 116;2 069;
Casal de facto com filhos;17 823;3 457;9 416;3 741;1 209;28 264;20 919;25 528;5 294;12 765;6 032;1 437;40 257;29 516;
        Ambos empregados;9 286;1 538;5 557;1 877;314;13 603;10 285;16 349;2 886;8 933;4 007;523;24 626;18 582;
        Um empregado e outro desempregado ou inactivo;5 780;1 200;2 910;1 280;390;9 265;6 739;6 375;1 580;2 948;1 445;402;10 207;7 122;
        Ambos desempregados ou inactivos;2 757;719;949;584;505;5 396;3 895;2 804;828;884;580;512;5 424;3 812;
Monoparental;30 841;19 740;8 500;2 216;385;40 789;14 173;35 900;23 876;9 169;2 445;410;47 115;15 349;
Pai com filhos;4 692;3 358;1 091;210;33;5 833;1 620;5 832;4 318;1 215;265;34;7 211;1 850;
        Empregado;2 388;1 354;844;167;23;3 097;1 252;3 272;2 059;972;218;23;4 231;1 478;
        Desempregado;339;176;134;23;6;452;198;180;90;77;11;2;218;105;
        Sem atividade económica;1 965;1 828;113;20;4;2 284;170;2 380;2 169;166;36;9;2 762;267;
Mãe com filhos;26 149;16 382;7 409;2 006;352;34 956;12 553;30 068;19 558;7 954;2 180;376;39 904;13 499;
        Empregada;13 038;6 067;5 372;1 427;172;18 269;8 757;16 707;8 744;6 115;1 634;214;23 319;10 042;
        Desempregada;2 385;853;1 126;330;76;3 532;2 036;1 564;640;681;196;47;2 277;1 227;
        Sem atividade económica;10 726;9 462;911;249;104;13 155;1 760;11 797;10 174;1 158;350;115;14 308;2 230;
;;;;;;;;;;;;;;;
Algarve;86 119;38 800;31 631;13 538;2 150;126 718;65 564;87 196;42 920;28 968;13 254;2 054;127 802;61 940;
;;;;;;;;;;;;;;;
Casal com filhos;63 396;25 495;24 337;11 700;1 864;96 496;53 687;58 458;25 256;20 431;11 036;1 735;90 025;47 962;
Casal de direito com filhos;48 817;22 654;16 360;8 649;1 154;74 282;37 300;39 361;20 780;11 080;6 541;960;60 805;27 161;
        Ambos empregados;26 924;9 616;10 889;5 867;552;41 871;24 329;21 515;9 442;7 160;4 400;513;34 817;17 548;
        Um empregado e outro desempregado ou inactivo;14 570;7 251;4 518;2 342;459;22 591;10 662;10 752;5 766;3 002;1 656;328;16 621;7 349;
        Ambos desempregados ou inactivos;7 323;5 787;953;440;143;9 820;2 309;7 094;5 572;918;485;119;9 367;2 264;
Casal de facto com filhos;14 579;2 841;7 977;3 051;710;22 214;16 387;19 097;4 476;9 351;4 495;775;29 220;20 801;
        Ambos empregados;7 658;1 262;4 614;1 572;210;11 040;8 423;11 269;2 237;5 933;2 778;321;16 885;12 481;
        Um empregado e outro desempregado ou inactivo;4 973;1 051;2 603;1 052;267;7 726;5 558;5 603;1 483;2 614;1 269;237;8 594;5 902;
        Ambos desempregados ou inactivos;1 948;528;760;427;233;3 448;2 406;2 225;756;804;448;217;3 741;2 418;
Monoparental;22 723;13 305;7 294;1 838;286;30 222;11 877;28 738;17 664;8 537;2 218;319;37 777;13 978;
Pai com filhos;3 306;2 246;853;192;15;4 138;1 290;4 269;2 969;1 073;214;13;5 245;1 540;
        Empregado;1 705;943;607;141;14;2 217;939;2 403;1 387;838;169;9;3 076;1 203;
        Desempregado;383;194;159;29;1;496;220;249;145;86;16;2;301;124;
        Sem atividade económica;1 218;1 109;87;22;0;1 425;131;1 617;1 437;149;29;2;1 868;213;
Mãe com filhos;19 417;11 059;6 441;1 646;271;26 084;10 587;24 469;14 695;7 464;2 004;306;32 532;12 438;
        Empregada;10 649;4 800;4 581;1 119;149;14 720;7 283;13 380;6 631;5 232;1 341;176;18 398;8 462;
        Desempregada;2 322;816;1 133;318;55;3 343;1 946;2 351;955;1 050;300;46;3 315;1 792;
        Sem atividade económica;6 446;5 443;727;209;67;8 021;1 358;8 738;7 109;1 182;363;84;10 819;2 184;
;;;;;;;;;;;;;;;
R.A. Açores;51 488;22 198;18 152;8 884;2 254;87 020;43 293;48 978;24 957;15 651;7 005;1 365;76 113;33 982;
;;;;;;;;;;;;;;;
Casal com filhos;40 756;15 461;15 272;8 008;2 015;70 898;37 875;35 959;16 290;12 376;6 104;1 189;57 761;28 349;
Casal de direito com filhos;37 086;14 863;13 364;7 198;1 661;64 550;33 172;29 616;15 067;9 016;4 710;823;47 693;21 025;
        Ambos empregados;18 679;5 331;8 390;4 365;593;31 362;18 969;16 863;6 544;6 532;3 370;417;27 286;14 562;
        Um empregado e outro desempregado ou inactivo;12 748;5 405;4 155;2 371;817;23 738;11 607;7 948;4 615;1 979;1 067;287;13 266;5 022;
        Ambos desempregados ou inactivos;5 659;4 127;819;462;251;9 450;2 596;4 805;3 908;505;273;119;7 141;1 441;
Casal de facto com filhos;3 670;598;1 908;810;354;6 348;4 703;6 343;1 223;3 360;1 394;366;10 068;7 324;
        Ambos empregados;1 697;256;983;360;98;2 711;2 022;3 742;614;2 195;803;130;5 600;4 207;
        Um empregado e outro desempregado ou inactivo;1 399;231;673;325;170;2 533;1 895;1 830;393;857;428;152;3 067;2 207;
        Ambos desempregados ou inactivos;574;111;252;125;86;1 104;786;771;216;308;163;84;1 401;910;
Monoparental;10 732;6 737;2 880;876;239;16 122;5 418;13 019;8 667;3 275;901;176;18 352;5 633;
Pai com filhos;1 466;1 042;328;79;17;2 030;544;1 919;1 431;376;105;7;2 556;607;
        Empregado;707;392;247;58;10;1 004;394;1 001;624;291;81;5;1 349;468;
        Desempregado;92;39;40;10;3;133;71;75;40;26;7;2;107;46;
        Sem atividade económica;667;611;41;11;4;893;79;843;767;59;17;0;1 100;93;
Mãe com filhos;9 266;5 695;2 552;797;222;14 092;4 874;11 100;7 236;2 899;796;169;15 796;5 026;
        Empregada;3 980;1 755;1 699;453;73;6 113;2 838;5 444;2 828;2 053;500;63;7 851;3 248;
        Desempregada;660;132;318;151;59;1 149;812;592;200;276;93;23;956;534;
        Sem atividade económica;4 626;3 808;535;193;90;6 830;1 224;5 064;4 208;570;203;83;6 989;1 244;
;;;;;;;;;;;;;;;
R.A. Madeira;57 705;27 358;19 782;8 805;1 760;92 834;43 034;53 207;30 174;15 625;6 459;949;79 586;31 517;
;;;;;;;;;;;;;;;
Casal com filhos;42 499;17 365;15 829;7 784;1 521;70 625;36 254;35 520;18 042;11 272;5 415;791;55 335;24 580;
Casal de direito com filhos;37 894;16 472;13 256;6 914;1 252;63 402;31 057;29 176;16 610;7 861;4 148;557;45 881;17 893;
        Ambos empregados;19 181;5 751;8 368;4 447;615;31 557;19 173;14 881;6 440;5 222;2 912;307;24 212;11 991;
        Um empregado e outro desempregado ou inactivo;12 165;5 719;3 956;2 009;481;21 371;9 515;8 591;5 287;2 111;1 005;188;13 696;4 716;
        Ambos desempregados ou inactivos;6 548;5 002;932;458;156;10 474;2 369;5 704;4 883;528;231;62;7 973;1 186;
Casal de facto com filhos;4 605;893;2 573;870;269;7 223;5 197;6 344;1 432;3 411;1 267;234;9 454;6 687;
        Ambos empregados;2 249;344;1 417;427;61;3 263;2 466;3 510;621;2 065;737;87;5 032;3 812;
        Um empregado e outro desempregado ou inactivo;1 642;355;835;326;126;2 664;1 902;2 031;516;1 029;392;94;3 103;2 112;
        Ambos desempregados ou inactivos;714;194;321;117;82;1 296;829;803;295;317;138;53;1 319;763;
Monoparental;15 206;9 993;3 953;1 021;239;22 209;6 780;17 687;12 132;4 353;1 044;158;24 251;6 937;
Pai com filhos;1 791;1 289;411;77;14;2 518;613;2 324;1 808;431;81;4;3 015;605;
        Empregado;800;456;279;57;8;1 149;417;1 100;707;328;63;2;1 450;460;
        Desempregado;169;69;83;14;3;239;124;146;97;39;8;2;183;61;
        Sem atividade económica;822;764;49;6;3;1 130;72;1 078;1 004;64;10;0;1 382;84;
Mãe com filhos;13 415;8 704;3 542;944;225;19 691;6 167;15 363;10 324;3 922;963;154;21 236;6 332;
        Empregada;5 907;2 791;2 411;608;97;8 751;3 940;7 028;3 759;2 611;590;68;9 883;4 000;
        Desempregada;1 100;334;547;170;49;1 714;1 043;1 255;479;575;169;32;1 867;1 013;
        Sem atividade económica;6 408;5 579;584;166;79;9 226;1 184;7 080;6 086;736;204;54;9 486;1 319;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Fonte: INE, Recenseamentos da População e da Habitação, 2011 e 2021;;;;;;;;;;;;;;;
