1.03 - Agregados domésticos privados, segundo o tipo de agregado (com base nos núcleos familiares), NUTS II, 2011 e 2021;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Com outras pessoas;10 483;13 996;2 602;4 032;1 990;2 733;3 903;4 658;783;947;681;928;224;377;300;321;
Casal “de facto” com, pelo menos, um filho com menos de 25 anos;183 186;268 265;42 117;71 201;32 738;53 275;72 502;93 473;15 993;23 163;13 051;16 716;3 059;5 261;3 726;5 176;
Sem outras pessoas;169 489;248 790;38 809;65 422;30 384;49 577;67 080;87 010;14 928;21 885;12 179;15 510;2 745;4 741;3 364;4 645;
Com outras pessoas;13 697;19 475;3 308;5 779;2 354;3 698;5 422;6 463;1 065;1 278;872;1 206;314;520;362;531;
Casal “de facto” com filho(s), tendo o mais novo 25 ou mais anos;8 915;15 219;2 282;4 399;1 599;2 710;3 247;5 161;835;1 236;661;1 059;93;268;198;386;
Sem outras pessoas;8 024;13 793;2 045;3 989;1 445;2 449;2 927;4 669;760;1 132;586;957;84;239;177;358;
Com outras pessoas;891;1 426;237;410;154;261;320;492;75;104;75;102;9;29;21;28;
Agregados domésticos privados constituídos por um núcleo monoparental;414 319;505 641;131 874;160 750;79 492;95 301;135 790;167 363;27 323;32 377;19 589;24 751;8 343;10 663;11 908;14 436;
Pai com, pelo menos, um filho com menos de 25 anos;30 441;40 830;7 914;10 936;5 488;7 696;11 798;15 291;2 152;2 865;1 692;2 196;618;857;779;989;
Sem outras pessoas;25 985;34 807;6 784;9 388;4 754;6 642;9 995;12 935;1 845;2 455;1 442;1 840;516;731;649;816;
Com outras pessoas;4 456;6 023;1 130;1 548;734;1 054;1 803;2 356;307;410;250;356;102;126;130;173;
Pai com filho(s), tendo o mais novo 25 ou mais anos;24 959;32 526;8 525;11 149;5 374;6 970;6 816;8 975;1 937;2 331;1 119;1 472;490;693;698;936;
Sem outras pessoas;23 228;30 010;7 949;10 321;5 073;6 532;6 233;8 148;1 837;2 187;1 045;1 324;453;636;638;862;
Com outras pessoas;1 731;2 516;576;828;301;438;583;827;100;144;74;148;37;57;60;74;
Mãe com, pelo menos, um filho com menos de 25 anos;216 160;258 801;66 856;78 994;39 446;45 926;76 373;93 009;12 963;15 784;10 775;13 301;4 133;5 113;5 614;6 674;
Sem outras pessoas;184 409;217 896;56 891;66 589;34 149;39 397;64 799;77 452;11 270;13 769;9 321;11 094;3 442;4 256;4 537;5 339;
Com outras pessoas;31 751;40 905;9 965;12 405;5 297;6 529;11 574;15 557;1 693;2 015;1 454;2 207;691;857;1 077;1 335;
Mãe com filho(s), tendo o mais novo 25 ou mais anos;142 759;173 484;48 579;59 671;29 184;34 709;40 803;50 088;10 271;11 397;6 003;7 782;3 102;4 000;4 817;5 837;
Sem outras pessoas;130 624;158 976;44 381;54 674;26 917;32 123;37 186;45 594;9 484;10 606;5 477;7 068;2 824;3 611;4 355;5 300;
Com outras pessoas;12 135;14 508;4 198;4 997;2 267;2 586;3 617;4 494;787;791;526;714;278;389;462;537;
Agregados domésticos privados com 2 núcleos familiares;114 488;118 088;50 367;50 041;22 200;22 524;22 375;26 189;5 912;5 343;4 813;5 637;4 257;4 055;4 564;4 299;
Sem filhos nos dois núcleos;13 783;13 320;5 979;5 749;3 285;3 114;2 264;2 341;795;678;608;608;472;475;380;355;
Sem outras pessoas;12 142;11 948;5 315;5 211;2 883;2 811;1 980;2 034;702;607;528;555;394;412;340;318;
Com outras pessoas;1 641;1 372;664;538;402;303;284;307;93;71;80;53;78;63;40;37;
Com filhos só num dos núcleos;62 772;66 598;28 826;30 176;13 107;13 764;10 914;12 585;3 421;3 083;2 610;3 016;1 908;1 913;1 986;2 061;
Sem outras pessoas;56 897;60 819;26 287;27 781;11 885;12 606;9 876;11 340;3 133;2 834;2 331;2 680;1 608;1 717;1 777;1 861;
Com outras pessoas;5 875;5 779;2 539;2 395;1 222;1 158;1 038;1 245;288;249;279;336;300;196;209;200;
Com filhos nos dois núcleos;37 933;38 170;15 562;14 116;5 808;5 646;9 197;11 263;1 696;1 582;1 595;2 013;1 877;1 667;2 198;1 883;
Sem outras pessoas;33 029;32 766;13 813;12 475;5 138;4 920;7 738;9 251;1 507;1 385;1 378;1 707;1 589;1 409;1 866;1 619;
Com outras pessoas;4 904;5 404;1 749;1 641;670;726;1 459;2 012;189;197;217;306;288;258;332;264;
Agregados domésticos privados com 3 ou mais núcleos familiares;4 183;4 484;1 628;1 574;588;641;957;1 261;160;177;148;260;355;287;347;284;
Sem outras pessoas;3 540;3 772;1 419;1 395;502;554;774;1 013;135;150;126;201;286;233;298;226;
Com outras pessoas;643;712;209;179;86;87;183;248;25;27;22;59;69;54;49;58;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Fonte: INE, Recenseamentos da População e da Habitação, 2011 e 2021;;;;;;;;;;;;;;;;;
