1.04 - Agregados domésticos privados unipessoais, segundo o grupo etário, NUTS II, 2011 e 2021;;;;;;
;;;;;;
65-69 anos;3 514;1 349;2 165;5 831;2 650;3 181
70-74 anos;3 910;1 214;2 696;5 622;2 204;3 418
75 ou mais anos;11 195;2 810;8 385;13 856;3 852;10 004
;;;;;;
R.A. Açores;14 006;5 888;8 118;17 348;7 348;10 000
;;;;;;
Menos de 20 anos;51;22;29;22;10;12
20-24 anos;333;178;155;251;136;115
25-29 anos;855;415;440;620;312;308
30-34 anos;1 124;575;549;810;415;395
35-39 anos;1 046;646;400;1 019;564;455
40-44 anos;858;569;289;1 186;692;494
45-49 anos;1 013;692;321;1 343;812;531
50-54 anos;1 019;597;422;1 408;820;588
55-59 anos;1 009;507;502;1 723;920;803
60-64 anos;1 083;388;695;1 749;803;946
65-69 anos;1 164;360;804;1 651;603;1 048
70-74 anos;1 290;285;1 005;1 614;415;1 199
75 ou mais anos;3 161;654;2 507;3 952;846;3 106
;;;;;;
R.A. Madeira;18 141;6 567;11 574;22 404;8 611;13 793
;;;;;;
Menos de 20 anos;37;19;18;25;9;16
20-24 anos;263;154;109;192;104;88
25-29 anos;739;351;388;409;219;190
30-34 anos;1 314;654;660;664;369;295
35-39 anos;1 316;713;603;917;543;374
40-44 anos;1 287;766;521;1 302;768;534
45-49 anos;1 295;759;536;1 720;1 006;714
50-54 anos;1 273;611;662;1 994;1 067;927
55-59 anos;1 425;600;825;2 400;1 115;1 285
60-64 anos;1 455;428;1 027;2 423;942;1 481
65-69 anos;1 734;384;1 350;2 442;803;1 639
70-74 anos;1 827;337;1 490;2 334;573;1 761
75 ou mais anos;4 176;791;3 385;5 582;1 093;4 489
;;;;;;
;;;;;;
Fonte: INE, Recenseamentos da População e da Habitação, 2011 e 2021;;;;;;
;;;;;;
;;;;;;
;;;;;;
