1.11 - Núcleos familiares reconstituídos e total de filhos nos núcleos, por tipo de núcleo (com base na condição perante o trabalho), NUTS II, 2011 e 2021;;;;;;
;;;;;;
Ambos empregados;1 795;1 795;5 568;9 874;;
        Um empregado e outro desempregado ou inactivo;1 403;1 403;3 354;5 833;;
        Ambos desempregados ou inactivos;1 123;1 123;1 624;2 454;;
Com 2 filhos;4 913;9 826;2 061;5 089;;
Ambos empregados;2 545;5 090;1 170;2 898;;
        Um empregado e outro desempregado ou inactivo;1 738;3 476;651;1 608;;
        Ambos desempregados ou inactivos;630;1 260;240;583;;
Com 3 ou mais filhos;2 041;6 646;418;1 463;;
Ambos empregados;888;2 822;219;760;;
        Um empregado e outro desempregado ou inactivo;849;2 797;146;506;;
        Ambos desempregados ou inactivos;304;1 027;53;197;;
Casal de facto;14 120;25 283;19 847;35 344;;
Com 1 filho;6 230;6 230;14 575;21 891;;
Ambos empregados;3 139;3 139;8 415;12 465;;
        Um empregado e outro desempregado ou inactivo;2 060;2 060;4 386;6 732;;
        Ambos desempregados ou inactivos;1 031;1 031;1 774;2 694;;
Com 2 filhos;5 404;10 808;4 286;10 047;;
Ambos empregados;2 629;5 258;2 572;5 876;;
        Um empregado e outro desempregado ou inactivo;1 989;3 978;1 266;3 066;;
        Ambos desempregados ou inactivos;786;1 572;448;1 105;;
Com 3 ou mais filhos;2 486;8 245;986;3 406;;
Ambos empregados;878;2 838;496;1 692;;
        Um empregado e outro desempregado ou inactivo;1 041;3 472;347;1 211;;
        Ambos desempregados ou inactivos;567;1 935;143;503;;
;;;;;;
Centro;20 006;36 433;24 232;44 467;;
;;;;;;
Casal de direito;8 199;15 377;8 778;16 899;;
Com 1 filho;3 022;3 022;7 120;12 454;;
Ambos empregados;1 340;1 340;4 118;7 491;;
        Um empregado e outro desempregado ou inactivo;999;999;2 079;3 587;;
        Ambos desempregados ou inactivos;683;683;923;1 376;;
Com 2 filhos;3 595;7 190;1 398;3 517;;
Ambos empregados;2 197;4 394;847;2 125;;
        Um empregado e outro desempregado ou inactivo;1 087;2 174;418;1 076;;
        Ambos desempregados ou inactivos;311;622;133;316;;
Com 3 ou mais filhos;1 582;5 165;260;928;;
Ambos empregados;820;2 605;152;536;;
        Um empregado e outro desempregado ou inactivo;602;2 017;86;309;;
        Ambos desempregados ou inactivos;160;543;22;83;;
Casal de facto;11 807;21 056;15 454;27 568;;
Com 1 filho;5 275;5 275;11 400;17 126;;
Ambos empregados;2 942;2 942;7 332;10 856;;
        Um empregado e outro desempregado ou inactivo;1 655;1 655;3 042;4 741;;
        Ambos desempregados ou inactivos;678;678;1 026;1 529;;
Com 2 filhos;4 483;8 966;3 291;7 775;;
Ambos empregados;2 536;5 072;2 139;4 982;;
        Um empregado e outro desempregado ou inactivo;1 549;3 098;898;2 182;;
        Ambos desempregados ou inactivos;398;796;254;611;;
Com 3 ou mais filhos;2 049;6 815;763;2 667;;
Ambos empregados;943;3 056;463;1 571;;
        Um empregado e outro desempregado ou inactivo;844;2 857;241;876;;
        Ambos desempregados ou inactivos;262;902;59;220;;
;;;;;;
A.M. Lisboa;39 950;75 039;44 461;84 470;;
;;;;;;
Casal de direito;15 787;30 424;17 134;33 847;;
Com 1 filho;5 885;5 885;13 321;23 356;;
Ambos empregados;2 807;2 807;7 395;13 253;;
        Um empregado e outro desempregado ou inactivo;1 844;1 844;4 131;7 357;;
        Ambos desempregados ou inactivos;1 234;1 234;1 795;2 746;;
Com 2 filhos;6 436;12 872;3 096;7 887;;
Ambos empregados;3 950;7 900;1 915;4 841;;
        Um empregado e outro desempregado ou inactivo;1 933;3 866;887;2 314;;
        Ambos desempregados ou inactivos;553;1 106;294;732;;
Com 3 ou mais filhos;3 466;11 667;717;2 604;;
Ambos empregados;1 936;6 377;462;1 664;;
        Um empregado e outro desempregado ou inactivo;1 206;4 130;190;695;;
        Ambos desempregados ou inactivos;324;1 160;65;245;;
Casal de facto;24 163;44 615;27 327;50 623;;
Com 1 filho;10 197;10 197;19 957;31 275;;
Ambos empregados;6 200;6 200;12 328;18 944;;
        Um empregado e outro desempregado ou inactivo;2 934;2 934;5 608;9 072;;
        Ambos desempregados ou inactivos;1 063;1 063;2 021;3 259;;
Com 2 filhos;9 356;18 712;5 928;14 175;;
Ambos empregados;5 680;11 360;3 784;8 837;;
        Um empregado e outro desempregado ou inactivo;2 887;5 774;1 674;4 145;;
        Ambos desempregados ou inactivos;789;1 578;470;1 193;;
Com 3 ou mais filhos;4 610;15 706;1 442;5 173;;
Ambos empregados;2 328;7 736;916;3 230;;
        Um empregado e outro desempregado ou inactivo;1 689;5 837;397;1 458;;
        Ambos desempregados ou inactivos;593;2 133;129;485;;
;;;;;;
Alentejo;8 441;15 744;9 714;18 269;;
;;;;;;
Casal de direito;3 113;5 895;2 999;5 893;;
Com 1 filho;1 103;1 103;2 359;4 168;;
Ambos empregados;500;500;1 367;2 464;;
        Um empregado e outro desempregado ou inactivo;383;383;713;1 282;;
        Ambos desempregados ou inactivos;220;220;279;422;;
Com 2 filhos;1 393;2 786;522;1 302;;
Ambos empregados;830;1 660;320;809;;
        Um empregado e outro desempregado ou inactivo;444;888;150;364;;
        Ambos desempregados ou inactivos;119;238;52;129;;
Com 3 ou mais filhos;617;2 006;118;423;;
Ambos empregados;312;984;67;234;;
        Um empregado e outro desempregado ou inactivo;246;823;40;144;;
        Ambos desempregados ou inactivos;59;199;11;45;;
Casal de facto;5 328;9 849;6 715;12 376;;
Com 1 filho;2 204;2 204;4 927;7 719;;
Ambos empregados;1 235;1 235;3 093;4 725;;
        Um empregado e outro desempregado ou inactivo;710;710;1 369;2 196;;
        Ambos desempregados ou inactivos;259;259;465;798;;
Com 2 filhos;2 070;4 140;1 439;3 427;;
Ambos empregados;1 163;2 326;939;2 182;;
        Um empregado e outro desempregado ou inactivo;704;1 408;389;972;;
        Ambos desempregados ou inactivos;203;406;111;273;;
Com 3 ou mais filhos;1 054;3 505;349;1 230;;
Ambos empregados;474;1 519;211;735;;
        Um empregado e outro desempregado ou inactivo;412;1 392;107;374;;
        Ambos desempregados ou inactivos;168;594;31;121;;
;;;;;;
Algarve;6 436;11 691;7 172;13 109;;
;;;;;;
Casal de direito;2 413;4 535;2 601;4 919;;
Com 1 filho;898;898;2 107;3 603;;
Ambos empregados;412;412;1 052;1 867;;
        Um empregado e outro desempregado ou inactivo;298;298;705;1 228;;
        Ambos desempregados ou inactivos;188;188;350;508;;
Com 2 filhos;1 045;2 090;427;1 071;;
Ambos empregados;598;1 196;230;568;;
        Um empregado e outro desempregado ou inactivo;349;698;142;364;;
        Ambos desempregados ou inactivos;98;196;55;139;;
Com 3 ou mais filhos;470;1 547;67;245;;
Ambos empregados;220;705;29;107;;
        Um empregado e outro desempregado ou inactivo;192;647;29;107;;
        Ambos desempregados ou inactivos;58;195;9;31;;
Casal de facto;4 023;7 156;4 571;8 190;;
Com 1 filho;1 791;1 791;3 402;5 169;;
Ambos empregados;954;954;1 893;2 877;;
        Um empregado e outro desempregado ou inactivo;612;612;1 116;1 725;;
        Ambos desempregados ou inactivos;225;225;393;567;;
Com 2 filhos;1 542;3 084;968;2 303;;
Ambos empregados;845;1 690;572;1 338;;
        Um empregado e outro desempregado ou inactivo;532;1 064;290;712;;
        Ambos desempregados ou inactivos;165;330;106;253;;
Com 3 ou mais filhos;690;2 281;201;718;;
Ambos empregados;299;980;113;396;;
        Um empregado e outro desempregado ou inactivo;282;928;66;241;;
        Ambos desempregados ou inactivos;109;373;22;81;;
;;;;;;
R.A. Açores;2 881;5 956;3 666;7 200;;
;;;;;;
Casal de direito;1 265;2 684;1 375;2 825;;
Com 1 filho;378;378;1 076;1 965;;
Ambos empregados;192;192;560;1 013;;
        Um empregado e outro desempregado ou inactivo;121;121;360;681;;
        Ambos desempregados ou inactivos;65;65;156;271;;
Com 2 filhos;527;1 054;236;614;;
Ambos empregados;296;592;126;317;;
        Um empregado e outro desempregado ou inactivo;180;360;82;217;;
        Ambos desempregados ou inactivos;51;102;28;80;;
Com 3 ou mais filhos;360;1 252;63;246;;
Ambos empregados;137;461;29;108;;
        Um empregado e outro desempregado ou inactivo;154;548;23;93;;
        Ambos desempregados ou inactivos;69;243;11;45;;
Casal de facto;1 616;3 272;2 291;4 375;;
Com 1 filho;603;603;1 544;2 350;;
Ambos empregados;325;325;903;1 324;;
        Um empregado e outro desempregado ou inactivo;214;214;459;743;;
        Ambos desempregados ou inactivos;64;64;182;283;;
Com 2 filhos;567;1 134;554;1 324;;
Ambos empregados;292;584;305;710;;
        Um empregado e outro desempregado ou inactivo;210;420;170;414;;
        Ambos desempregados ou inactivos;65;130;79;200;;
Com 3 ou mais filhos;446;1 535;193;701;;
Ambos empregados;164;543;90;307;;
        Um empregado e outro desempregado ou inactivo;192;669;64;248;;
        Ambos desempregados ou inactivos;90;323;39;146;;
;;;;;;
R.A. Madeira;2 654;5 077;2 600;4 909;;
;;;;;;
Casal de direito;1 110;2 190;1 050;2 056;;
Com 1 filho;370;370;859;1 531;;
Ambos empregados;160;160;402;769;;
        Um empregado e outro desempregado ou inactivo;128;128;295;512;;
        Ambos desempregados ou inactivos;82;82;162;250;;
Com 2 filhos;477;954;156;394;;
Ambos empregados;267;534;73;182;;
        Um empregado e outro desempregado ou inactivo;152;304;64;165;;
        Ambos desempregados ou inactivos;58;116;19;47;;
Com 3 ou mais filhos;263;866;35;131;;
Ambos empregados;128;411;15;53;;
        Um empregado e outro desempregado ou inactivo;105;352;12;46;;
        Ambos desempregados ou inactivos;30;103;8;32;;
Casal de facto;1 544;2 887;1 550;2 853;;
Com 1 filho;672;672;1 143;1 765;;
Ambos empregados;342;342;592;890;;
        Um empregado e outro desempregado ou inactivo;235;235;403;626;;
        Ambos desempregados ou inactivos;95;95;148;249;;
Com 2 filhos;551;1 102;326;794;;
Ambos empregados;283;566;158;369;;
        Um empregado e outro desempregado ou inactivo;195;390;123;305;;
        Ambos desempregados ou inactivos;73;146;45;120;;
Com 3 ou mais filhos;321;1 113;81;294;;
Ambos empregados;114;377;34;119;;
        Um empregado e outro desempregado ou inactivo;129;457;29;104;;
        Ambos desempregados ou inactivos;78;279;18;71;;
;;;;;;
;;;;;;
Fonte: INE, Recenseamentos da População e da Habitação, 2011 e 2021;;;;;;
