Nacionalidade,Setor_Atividade,Total_imigrantes,Percentagem,Total_nacionais
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",L,0,0.0,41940
,M,0,0.0,215140
Nacionalidade portuguesa,M,203241,90.56681966044295,215140
Nacionalidade estrangeira,M,11899,5.302348380196961,215140
Principais nacionalidades,M,0,0.0,215140
Brasil,M,4504,2.0070406844614768,215140
Angola,M,379,0.1688873044873223,215140
Cabo Verde,M,207,0.09224187870415758,215140
Reino Unido,M,796,0.3547079007174368,215140
Ucrânia,M,206,0.09179626576355777,215140
França,M,661,0.2945501537364645,215140
China,M,126,0.05614723051557417,215140
Guiné-Bissau,M,47,0.020943808208190366,215140
Índia,M,111,0.049463036406577246,215140
Roménia,M,123,0.05481039169377478,215140
Itália,M,808,0.3600552560046344,215140
Nepal,M,57,0.025399937614188312,215140
Espanha,M,687,0.3061360901920592,215140
Alemanha,M,516,0.22993627734949423,215140
São Tomé e Príncipe,M,42,0.01871574350519139,215140
Apátridas,M,0,0.0,215140
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",M,0,0.0,215140
,N,0,0.0,210873
Nacionalidade portuguesa,N,187350,81.22344576432845,210873
Nacionalidade estrangeira,N,23514,10.194225266626203,210873
Principais nacionalidades,N,0,0.0,210873
Brasil,N,8037,3.4843492586490936,210873
Angola,N,1138,0.4933668603138819,210873
Cabo Verde,N,2032,0.8809503164831354,210873
Reino Unido,N,432,0.18728864996098155,210873
Ucrânia,N,1353,0.5865776467527963,210873
França,N,738,0.31995144368334344,210873
China,N,120,0.052024624989161536,210873
Guiné-Bissau,N,1360,0.5896124165438307,210873
Índia,N,757,0.328188675973294,210873
Roménia,N,969,0.4200988467874794,210873
Itália,N,747,0.3238532905575306,210873
Nepal,N,327,0.1417671030954652,210873
Espanha,N,505,0.21893696349605482,210873
Alemanha,N,529,0.22934188849388712,210873
São Tomé e Príncipe,N,743,0.3221191363912252,210873
Apátridas,N,9,0.0039018468741871155,210873
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",N,0,0.0,210873
,O,0,0.0,348363
Nacionalidade portuguesa,O,344778,98.1591144617417,348363
Nacionalidade estrangeira,O,3585,1.0206580041224904,348363
Principais nacionalidades,O,0,0.0,348363
Brasil,O,1130,0.32171368051838606,348363
Angola,O,401,0.11416565122820603,348363
Cabo Verde,O,215,0.06121101001013541,348363
Reino Unido,O,65,0.018505654189110703,348363
Ucrânia,O,117,0.03331017754039927,348363
França,O,111,0.03160196330755828,348363
China,O,24,0.006832856931363953,348363
Guiné-Bissau,O,126,0.03587249888966075,348363
Índia,O,95,0.02704672535331564,348363
Roménia,O,112,0.031886665679698445,348363
Itália,O,98,0.027900832469736136,348363
Nepal,O,57,0.016228035211989386,348363
Espanha,O,192,0.054662855450911624,348363
Alemanha,O,79,0.022491487399073008,348363
São Tomé e Príncipe,O,59,0.016797439956269714,348363
Apátridas,O,0,0.0,348363
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",O,0,0.0,348363
,P,0,0.0,328256
Nacionalidade portuguesa,P,320063,95.6371166304114,328256
Nacionalidade estrangeira,P,8191,2.4475294623861545,328256
Principais nacionalidades,P,0,0.0,328256
Brasil,P,2541,0.7592689981593479,328256
Angola,P,365,0.10906461406066979,328256
Cabo Verde,P,220,0.06573757559821193,328256
Reino Unido,P,924,0.27609781751249013,328256
Ucrânia,P,156,0.04661391724236846,328256
França,P,422,0.1260966222838429,328256
China,P,103,0.030777137666435587,328256
Guiné-Bissau,P,73,0.021812922812133963,328256
Índia,P,63,0.018824851194033418,328256
Roménia,P,93,0.027789066048335045,328256
Itália,P,386,0.11533956445868095,328256
Nepal,P,33,0.00986063633973179,328256
Espanha,P,511,0.15269045968493775,328256
Alemanha,P,440,0.13147515119642386,328256
São Tomé e Príncipe,P,78,0.02330695862118423,328256
Apátridas,P,2,0.0005976143236201086,328256
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",P,0,0.0,328256
,Q,0,0.0,445455
Nacionalidade portuguesa,Q,426542,92.28995014886104,445455
Nacionalidade estrangeira,Q,18908,4.091082185141591,445455
Principais nacionalidades,Q,0,0.0,445455
Brasil,Q,10298,2.228155507858478,445455
Angola,Q,1350,0.29209651734404213,445455
Cabo Verde,Q,925,0.20014020632832513,445455
Reino Unido,Q,212,0.04586997161254587,445455
Ucrânia,Q,578,0.12506058298137507,445455
França,Q,258,0.055822889981305815,445455
China,Q,52,0.011251125112511251,445455
Guiné-Bissau,Q,556,0.1203004915876203,445455
Índia,Q,67,0.014496641971889495,445455
Roménia,Q,394,0.08524890950633525,445455
Itália,Q,318,0.0688049574188188,445455
Nepal,Q,93,0.020122204528145123,445455
Espanha,Q,877,0.18975455237831476,445455
Alemanha,Q,266,0.057553832306307555,445455
São Tomé e Príncipe,Q,477,0.1032074361282282,445455
Apátridas,Q,5,0.0010818389531260819,445455
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",Q,0,0.0,445455
,R,0,0.0,51164
Nacionalidade portuguesa,R,47314,87.45817852455683,51164
Nacionalidade estrangeira,R,3848,7.1128856355940036,51164
Principais nacionalidades,R,0,0.0,51164
Brasil,R,1580,2.9205715447605316,51164
Angola,R,85,0.15711935525610454,51164
Cabo Verde,R,88,0.16266474426514355,51164
Reino Unido,R,267,0.4935396218044696,51164
Ucrânia,R,68,0.12569548420488366,51164
França,R,170,0.3142387105122091,51164
China,R,24,0.044363112072311875,51164
Guiné-Bissau,R,50,0.09242315015064974,51164
Índia,R,36,0.0665446681084678,51164
Roménia,R,69,0.12754394720789664,51164
Itália,R,167,0.30869332150317014,51164
Nepal,R,17,0.031423871051220915,51164
Espanha,R,176,0.3253294885302871,51164
Alemanha,R,124,0.22920941237361137,51164
São Tomé e Príncipe,R,14,0.025878482042181926,51164
Apátridas,R,2,0.0036969260060259893,51164
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",R,0,0.0,51164
,S,0,0.0,99868
Nacionalidade portuguesa,S,90646,83.96957879037711,99868
Nacionalidade estrangeira,S,9221,8.541838426693591,99868
Principais nacionalidades,S,0,0.0,99868
Brasil,S,5916,5.480264193939844,99868
Angola,S,312,0.289020018341655,99868
Cabo Verde,S,242,0.22417578345730935,99868
Reino Unido,S,125,0.11579327657918871,99868
Ucrânia,S,411,0.38072829339237246,99868
França,S,135,0.1250567387055238,99868
China,S,61,0.05650711897064409,99868
Guiné-Bissau,S,98,0.09078192883808395,99868
Índia,S,120,0.11116154551602117,99868
Roménia,S,156,0.1445100091708275,99868
Itália,S,145,0.13432020083185892,99868
Nepal,S,65,0.06021250382117813,99868
Espanha,S,128,0.11857231521708923,99868
Alemanha,S,100,0.09263462126335097,99868
São Tomé e Príncipe,S,69,0.06391788867171216,99868
Apátridas,S,1,0.0009263462126335096,99868
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",S,0,0.0,99868
,T,0,0.0,62793
Nacionalidade portuguesa,T,54503,77.86254089344133,62793
Nacionalidade estrangeira,T,8286,11.837311961599452,62793
Principais nacionalidades,T,0,0.0,62793
Brasil,T,3130,4.471492449892142,62793
Angola,T,479,0.6842954899355705,62793
Cabo Verde,T,1102,1.57430820440292,62793
Reino Unido,T,67,0.09571565308075829,62793
Ucrânia,T,731,1.044300632866184,62793
França,T,50,0.07142959185131216,62793
China,T,114,0.16285946942099172,62793
Guiné-Bissau,T,231,0.33000471435306217,62793
Índia,T,130,0.18571693881341164,62793
Roménia,T,476,0.6800097144244918,62793
Itália,T,34,0.04857212245889227,62793
Nepal,T,178,0.2542893469906713,62793
Espanha,T,52,0.07428677552536464,62793
Alemanha,T,71,0.10143002042886327,62793
São Tomé e Príncipe,T,361,0.5157216531664738,62793
Apátridas,T,4,0.0057143673481049725,62793
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",T,0,0.0,62793
,U,0,0.0,1867
Nacionalidade portuguesa,U,1392,64.68401486988847,1867
Nacionalidade estrangeira,U,475,22.0724907063197,1867
Principais nacionalidades,U,0,0.0,1867
Brasil,U,38,1.7657992565055762,1867
Angola,U,50,2.323420074349442,1867
Cabo Verde,U,10,0.4646840148698885,1867
Reino Unido,U,32,1.486988847583643,1867
Ucrânia,U,5,0.23234200743494424,1867
França,U,19,0.8828996282527881,1867
China,U,2,0.09293680297397769,1867
Guiné-Bissau,U,8,0.37174721189591076,1867
Índia,U,3,0.13940520446096655,1867
Roménia,U,4,0.18587360594795538,1867
Itália,U,36,1.6728624535315983,1867
Nepal,U,4,0.18587360594795538,1867
Espanha,U,48,2.2304832713754648,1867
Alemanha,U,23,1.0687732342007434,1867
São Tomé e Príncipe,U,3,0.13940520446096655,1867
Apátridas,U,0,0.0,1867
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",U,0,0.0,1867
